"Županije","Mjesec","Tip","2016 Domaći","2016 Strani","2017 Domaći","2017 Strani","2018 Domaći","2018 Strani"
"OSJEČKO-BARANJSKA","VII","Noćenja",7126,8125,7203,8482,7147,9870
"OSJEČKO-BARANJSKA","VIII","Dolasci",3459,3634,3144,4429,3153,4683
"OSJEČKO-BARANJSKA","VIII","Noćenja",7204,7701,6194,8738,6337,10628
"OSJEČKO-BARANJSKA","IX","Dolasci",6407,4174,6365,4166,6530,4652
"OSJEČKO-BARANJSKA","IX","Noćenja",12177,8389,11856,8850,11799,9446
"OSJEČKO-BARANJSKA","X","Dolasci",6824,3271,6840,3571,7254,3536
"OSJEČKO-BARANJSKA","X","Noćenja",12934,6017,12164,7081,13768,7637
"OSJEČKO-BARANJSKA","XI","Dolasci",6820,2083,6370,2290,7244,1975
"OSJEČKO-BARANJSKA","XI","Noćenja",11660,4236,11471,4889,12606,4489
"OSJEČKO-BARANJSKA","XII","Dolasci",4751,1673,4483,1702,4543,1793
"OSJEČKO-BARANJSKA","XII","Noćenja",8348,3433,7864,3821,8015,4692
"ŠIBENSKO-KNINSKA","I","Dolasci",981,1009,1089,1563,1662,1856
"ŠIBENSKO-KNINSKA","I","Noćenja",2684,2012,3950,3380,4296,3506
"ŠIBENSKO-KNINSKA","II","Dolasci",1600,1182,2180,1918,1617,1680
"ŠIBENSKO-KNINSKA","II","Noćenja",3125,2416,6766,4316,4408,3635
"ŠIBENSKO-KNINSKA","III","Dolasci",6351,7114,6132,5422,6265,8906
"ŠIBENSKO-KNINSKA","III","Noćenja",14959,16935,14214,13130,13278,23043
"ŠIBENSKO-KNINSKA","IV","Dolasci",7861,15926,8496,25409,7943,26902
"ŠIBENSKO-KNINSKA","IV","Noćenja",16884,46449,21496,71447,18045,66044
"ŠIBENSKO-KNINSKA","V","Dolasci",8405,38645,9998,40950,10669,55398
"ŠIBENSKO-KNINSKA","V","Noćenja",21292,158493,21911,140342,21940,201352
"ŠIBENSKO-KNINSKA","VI","Dolasci",13432,82638,15410,110467,17595,118247
"ŠIBENSKO-KNINSKA","VI","Noćenja",48947,445232,59816,598800,68167,588344
"ŠIBENSKO-KNINSKA","VII","Dolasci",29135,222448,28116,255226,30107,246738
"ŠIBENSKO-KNINSKA","VII","Noćenja",164895,1515195,160634,1695291,175746,1699403
"ŠIBENSKO-KNINSKA","VIII","Dolasci",31192,219489,29431,236104,33654,234458
"ŠIBENSKO-KNINSKA","VIII","Noćenja",209507,1651193,211682,1738469,230930,1694785
"ŠIBENSKO-KNINSKA","IX","Dolasci",10750,81139,9354,89261,9503,92330
"ŠIBENSKO-KNINSKA","IX","Noćenja",33897,519352,32010,534511,31942,509957
"ŠIBENSKO-KNINSKA","X","Dolasci",6294,21015,8732,22907,11063,31952
"ŠIBENSKO-KNINSKA","X","Noćenja",15009,75347,19873,73032,24137,98797
"ŠIBENSKO-KNINSKA","XI","Dolasci",2474,3478,6064,4049,5219,5841
"ŠIBENSKO-KNINSKA","XI","Noćenja",6032,7384,12456,8501,10263,10146
"ŠIBENSKO-KNINSKA","XII","Dolasci",2612,2585,2465,2490,2482,3116
"ŠIBENSKO-KNINSKA","XII","Noćenja",5964,5100,4129,5133,4112,5950
"VUKOVARSKO-SRIJEMSKA","I","Dolasci",1428,837,3827,830,5168,516
"VUKOVARSKO-SRIJEMSKA","I","Noćenja",2265,1240,4488,1445,7973,943
"VUKOVARSKO-SRIJEMSKA","II","Dolasci",983,534,5845,688,4386,440
"VUKOVARSKO-SRIJEMSKA","II","Noćenja",1518,975,7412,1013,6372,824
"VUKOVARSKO-SRIJEMSKA","III","Dolasci",1786,746,6414,980,5034,659
"VUKOVARSKO-SRIJEMSKA","III","Noćenja",2727,1523,9878,1580,8084,1527
"VUKOVARSKO-SRIJEMSKA","IV","Dolasci",3972,1289,6377,1600,6212,1396
"VUKOVARSKO-SRIJEMSKA","IV","Noćenja",5863,2156,11523,3139,10405,3243
"VUKOVARSKO-SRIJEMSKA","V","Dolasci",7244,1263,8013,1698,7884,1492
"VUKOVARSKO-SRIJEMSKA","V","Noćenja",10400,2364,14300,2878,13697,2758
"VUKOVARSKO-SRIJEMSKA","VI","Dolasci",5079,1158,4999,1303,5369,1228
"VUKOVARSKO-SRIJEMSKA","VI","Noćenja",7031,1691,9253,1965,9450,2056
"VUKOVARSKO-SRIJEMSKA","VII","Dolasci",1546,2638,1713,3222,1683,1823
"VUKOVARSKO-SRIJEMSKA","VII","Noćenja",3056,3590,3839,4249,3534,3238
"VUKOVARSKO-SRIJEMSKA","VIII","Dolasci",1648,2596,2066,3562,2317,1967
"VUKOVARSKO-SRIJEMSKA","VIII","Noćenja",3410,3823,4646,4633,4768,3539
"VUKOVARSKO-SRIJEMSKA","IX","Dolasci",8080,2362,7406,2744,7601,1579
"VUKOVARSKO-SRIJEMSKA","IX","Noćenja",11625,4537,11178,4036,11280,2934
"VUKOVARSKO-SRIJEMSKA","X","Dolasci",7465,984,8598,1426,8231,1123
"VUKOVARSKO-SRIJEMSKA","X","Noćenja",9328,1571,11806,2077,12312,2062
"VUKOVARSKO-SRIJEMSKA","XI","Dolasci",8813,1085,8776,1217,8138,997
"VUKOVARSKO-SRIJEMSKA","XI","Noćenja",11369,1738,12871,2150,11160,2578
"VUKOVARSKO-SRIJEMSKA","XII","Dolasci",5274,1008,4821,817,4665,628
"VUKOVARSKO-SRIJEMSKA","XII","Noćenja",6727,1674,6925,1186,5916,1389
"SPLITSKO-DALMATINSKA","I","Dolasci",6023,6284,6183,9735,7739,10484
"SPLITSKO-DALMATINSKA","I","Noćenja",14131,20706,13816,23677,17837,27828
"SPLITSKO-DALMATINSKA","II","Dolasci",9241,8351,8363,11045,8326,12757
"SPLITSKO-DALMATINSKA","II","Noćenja",16862,18467,16503,27047,16436,31526
"SPLITSKO-DALMATINSKA","III","Dolasci",11484,21701,10994,22199,13702,35206
"SPLITSKO-DALMATINSKA","III","Noćenja",23334,51689,19990,45952,27555,83370
"SPLITSKO-DALMATINSKA","IV","Dolasci",14953,63524,17713,100402,19085,106212
"SPLITSKO-DALMATINSKA","IV","Noćenja",31117,170586,41817,294399,42268,292568
"SPLITSKO-DALMATINSKA","V","Dolasci",19385,155465,17474,188701,24190,238062
"SPLITSKO-DALMATINSKA","V","Noćenja",53807,604408,39414,685642,57002,897357
"SPLITSKO-DALMATINSKA","VI","Dolasci",24108,314771,26637,414090,31532,481414
"SPLITSKO-DALMATINSKA","VI","Noćenja",89058,1588840,95619,2035814,114040,2211214
"SPLITSKO-DALMATINSKA","VII","Dolasci",42769,748528,44566,856413,46132,870814
"SPLITSKO-DALMATINSKA","VII","Noćenja",216594,4432077,221956,4963588,230434,5160276
"SPLITSKO-DALMATINSKA","VIII","Dolasci",46632,727271,45817,794457,52055,833531
"SPLITSKO-DALMATINSKA","VIII","Noćenja",291622,4768174,288467,5082911,317339,5183952
"SPLITSKO-DALMATINSKA","IX","Dolasci",22477,323826,19322,375357,21977,411527
"SPLITSKO-DALMATINSKA","IX","Noćenja",80053,1869645,67302,2027019,71242,2046460
"SPLITSKO-DALMATINSKA","X","Dolasci",16400,105067,15779,123073,19288,147248
"SPLITSKO-DALMATINSKA","X","Noćenja",36918,399464,35024,459271,40970,533943
"SPLITSKO-DALMATINSKA","XI","Dolasci",9903,17072,9475,18925,11251,39143
"SPLITSKO-DALMATINSKA","XI","Noćenja",18926,37866,18087,43563,20782,73814
"SPLITSKO-DALMATINSKA","XII","Dolasci",9196,12873,9336,13795,10074,22396
"SPLITSKO-DALMATINSKA","XII","Noćenja",16960,29587,16525,32314,17578,46165
"ISTARSKA","I","Dolasci",6889,10467,8408,13136,10919,16484
"ISTARSKA","I","Noćenja",24256,42073,24894,50815,30607,61002
"ISTARSKA","II","Dolasci",7556,25193,9127,26607,9358,29247
"ISTARSKA","II","Noćenja",19346,68974,21341,74014,23239,83775
"ISTARSKA","III","Dolasci",13190,68483,14477,43792,15971,81243
"ISTARSKA","III","Noćenja",32764,225702,32954,128513,34357,253158
"ISTARSKA","IV","Dolasci",21378,141938,24602,222180,33150,212811
"ISTARSKA","IV","Noćenja",54054,462385,63226,753015,82994,696198
"ISTARSKA","V","Dolasci",33555,300107,36889,257184,38587,395517
"ISTARSKA","V","Noćenja",93120,1419790,90858,1177896,96858,1892957
"ISTARSKA","VI","Dolasci",25853,471058,28581,669887,35319,626957
"ISTARSKA","VI","Noćenja",93658,2774584,97726,3965753,121714,3611762
"ISTARSKA","VII","Dolasci",26212,950992,26290,1037329,26116,1009102
"ISTARSKA","VII","Noćenja",137040,6438090,126515,7158476,127383,7303991
"ISTARSKA","VIII","Dolasci",24073,981333,22275,1008795,24589,1019131
"ISTARSKA","VIII","Noćenja",130127,7399545,121190,7779807,130613,7660082
"ISTARSKA","IX","Dolasci",24861,441886,20878,436100,25009,489570
"ISTARSKA","IX","Noćenja",68870,3025897,63558,3012160,75058,3095585
"ISTARSKA","X","Dolasci",21369,101273,19338,108230,25646,123130
"ISTARSKA","X","Noćenja",49330,400082,42334,450347,57606,505959
"ISTARSKA","XI","Dolasci",10391,18308,9282,22378,14004,29292
"ISTARSKA","XI","Noćenja",23300,53479,20760,74009,32896,90181
"ISTARSKA","XII","Dolasci",7094,29715,8779,29474,8994,32606
"ISTARSKA","XII","Noćenja",15154,76613,18222,78093,21326,89462
"DUBROVAČKO-NERETVANSKA","I","Dolasci",3332,7659,2805,10047,3726,10394
"DUBROVAČKO-NERETVANSKA","I","Noćenja",8833,22399,7332,28037,8521,30040
"DUBROVAČKO-NERETVANSKA","II","Dolasci",4539,12665,5085,12318,4359,13870
"DUBROVAČKO-NERETVANSKA","II","Noćenja",9800,32350,12349,31848,9052,31637
"DUBROVAČKO-NERETVANSKA","III","Dolasci",6963,31692,6643,30826,6722,39958
"DUBROVAČKO-NERETVANSKA","III","Noćenja",17046,78567,14504,73518,14555,97243
"DUBROVAČKO-NERETVANSKA","IV","Dolasci",10426,67372,10506,105773,11217,109014
"DUBROVAČKO-NERETVANSKA","IV","Noćenja",22998,201743,26098,343518,25764,343118
"DUBROVAČKO-NERETVANSKA","V","Dolasci",10105,142230,9357,170691,10532,199826
"DUBROVAČKO-NERETVANSKA","V","Noćenja",25610,493868,23341,584643,24521,686519
"DUBROVAČKO-NERETVANSKA","VI","Dolasci",11538,200640,12374,249711,13058,274366
"DUBROVAČKO-NERETVANSKA","VI","Noćenja",39700,824133,42419,1008164,44720,1062249
"DUBROVAČKO-NERETVANSKA","VII","Dolasci",15277,327960,15763,376558,15556,382759
"DUBROVAČKO-NERETVANSKA","VII","Noćenja",73157,1624823,74757,1802523,72830,1827967
"DUBROVAČKO-NERETVANSKA","VIII","Dolasci",18232,339834,17354,373908,19661,394829
"DUBROVAČKO-NERETVANSKA","VIII","Noćenja",106961,1749721,103089,1856864,110725,1882652
"DUBROVAČKO-NERETVANSKA","IX","Dolasci",9023,212350,10023,247896,10294,272870
"DUBROVAČKO-NERETVANSKA","IX","Noćenja",30964,915394,34416,1020448,32352,1059758
"DUBROVAČKO-NERETVANSKA","X","Dolasci",9331,111952,8732,132335,9759,147822
"DUBROVAČKO-NERETVANSKA","X","Noćenja",21612,419743,21146,477670,21561,523271
"DUBROVAČKO-NERETVANSKA","XI","Dolasci",5385,19565,6342,24467,6434,32991
"DUBROVAČKO-NERETVANSKA","XI","Noćenja",11993,47166,14140,57953,13978,73155
"DUBROVAČKO-NERETVANSKA","XII","Dolasci",5080,15617,5312,19288,4790,19927
"DUBROVAČKO-NERETVANSKA","XII","Noćenja",12253,37003,10613,42920,10437,44424
"MEĐIMURSKA","I","Dolasci",2333,913,3425,1400,3607,1777
"MEĐIMURSKA","I","Noćenja",6989,2192,8460,3543,8514,6514
"MEĐIMURSKA","II","Dolasci",1498,1546,2240,2763,2127,2583
"MEĐIMURSKA","II","Noćenja",3350,3614,5018,7472,4567,6561
"MEĐIMURSKA","III","Dolasci",2123,1351,3120,1953,3547,2239
"MEĐIMURSKA","III","Noćenja",4587,3016,6195,5156,6790,5267
"MEĐIMURSKA","IV","Dolasci",1861,1545,3009,2213,2970,3026
"MEĐIMURSKA","IV","Noćenja",3132,3569,7050,5378,6557,7368
"MEĐIMURSKA","V","Dolasci",1818,1593,2569,2044,3270,2262
"MEĐIMURSKA","V","Noćenja",3844,3999,5133,4375,5853,5396
"MEĐIMURSKA","VI","Dolasci",1951,2240,3522,2990,2988,3444
"MEĐIMURSKA","VI","Noćenja",4861,4723,7567,6021,6746,9403
"MEĐIMURSKA","VII","Dolasci",1214,2930,1918,4888,2063,5647
"MEĐIMURSKA","VII","Noćenja",3915,9179,4925,16033,5369,19178
"MEĐIMURSKA","VIII","Dolasci",1432,3140,1905,5136,2716,5928
"MEĐIMURSKA","VIII","Noćenja",4234,11499,5443,18624,7165,20395
"MEĐIMURSKA","IX","Dolasci",2275,1949,3677,2994,2981,3336
"MEĐIMURSKA","IX","Noćenja",4571,4045,6580,6533,5853,7626
"MEĐIMURSKA","X","Dolasci",2915,1701,3541,2874,4567,2992
"MEĐIMURSKA","X","Noćenja",4755,4273,7395,6761,8554,6576
"MEĐIMURSKA","XI","Dolasci",2364,1652,4259,1869,4493,1915
"MEĐIMURSKA","XI","Noćenja",4052,4309,7593,4663,8063,4916
"MEĐIMURSKA","XII","Dolasci",2142,1394,3778,2250,3252,2685
"MEĐIMURSKA","XII","Noćenja",3986,3345,7117,5111,6855,6650
"GRAD ZAGREB","I","Dolasci",14852,30024,14449,34271,16310,45513
"GRAD ZAGREB","I","Noćenja",28130,56343,28305,68218,33856,107436
"GRAD ZAGREB","II","Dolasci",14878,30988,14043,34653,14599,38685
"GRAD ZAGREB","II","Noćenja",26659,59562,25713,68820,27736,73956
"GRAD ZAGREB","III","Dolasci",16166,46545,18668,55074,19784,65037
"GRAD ZAGREB","III","Noćenja",29219,87135,32622,101625,34681,120844
"GRAD ZAGREB","IV","Dolasci",18933,66295,15422,85695,17642,86796
"GRAD ZAGREB","IV","Noćenja",32022,119455,27393,146460,32412,151467
"GRAD ZAGREB","V","Dolasci",16396,89182,16264,105306,18052,119386
"GRAD ZAGREB","V","Noćenja",26696,151372,27541,186005,31262,203061
"GRAD ZAGREB","VI","Dolasci",14902,91305,14821,123348,14177,126194
"GRAD ZAGREB","VI","Noćenja",26558,156909,27344,219329,27380,221209
"GRAD ZAGREB","VII","Dolasci",11497,116639,10042,136150,12354,148877
"GRAD ZAGREB","VII","Noćenja",23870,225053,20508,230919,24269,263110
"GRAD ZAGREB","VIII","Dolasci",9051,119211,8550,141152,10486,153703
"GRAD ZAGREB","VIII","Noćenja",16492,194916,15769,233770,21443,258315
"GRAD ZAGREB","IX","Dolasci",16113,108085,15896,128536,16288,136401
"GRAD ZAGREB","IX","Noćenja",28147,176925,27167,216509,27908,229663
"GRAD ZAGREB","X","Dolasci",19259,82863,18134,103328,20136,108138
"GRAD ZAGREB","X","Noćenja",35131,145340,31923,178966,35853,187850
"GRAD ZAGREB","XI","Dolasci",21731,57251,21027,60005,23950,65331
"GRAD ZAGREB","XI","Noćenja",39432,114861,37017,111504,43168,123453
"GRAD ZAGREB","XII","Dolasci",36806,59628,36549,74704,39409,82953
"GRAD ZAGREB","XII","Noćenja",61141,110741,61303,139028,70144,161341
