"Županije","Mjesec","Tip","2016 Domaći","2016 Strani","2017 Domaći","2017 Strani","2018 Domaći","2018 Strani"
"SISAČKO-MOSLAVAČKA","VIII","Noćenja",4859,3959,4115,5558,4872,6435
"SISAČKO-MOSLAVAČKA","IX","Dolasci",1278,1513,1377,1936,1759,2246
"SISAČKO-MOSLAVAČKA","IX","Noćenja",4689,2701,4105,3248,4490,3952
"SISAČKO-MOSLAVAČKA","X","Dolasci",1863,1070,1729,1547,1955,1234
"SISAČKO-MOSLAVAČKA","X","Noćenja",5989,2007,5572,2807,5337,2336
"SISAČKO-MOSLAVAČKA","XI","Dolasci",1706,810,1683,1035,1595,1222
"SISAČKO-MOSLAVAČKA","XI","Noćenja",6539,1764,5927,2286,5634,2653
"SISAČKO-MOSLAVAČKA","XII","Dolasci",1439,733,1566,825,1885,996
"SISAČKO-MOSLAVAČKA","XII","Noćenja",3892,1481,3924,1907,4008,2425
"KARLOVAČKA","I","Dolasci",922,2019,1279,2872,1619,2966
"KARLOVAČKA","I","Noćenja",2431,2761,2726,3736,3624,4069
"KARLOVAČKA","II","Dolasci",963,2991,942,3682,1293,3091
"KARLOVAČKA","II","Noćenja",1679,4123,1680,4707,2318,4480
"KARLOVAČKA","III","Dolasci",1036,4174,1371,5187,1164,5952
"KARLOVAČKA","III","Noćenja",2155,5413,2174,6230,2097,7884
"KARLOVAČKA","IV","Dolasci",1230,8659,2205,13867,2289,14760
"KARLOVAČKA","IV","Noćenja",2323,12353,3409,19411,4042,22396
"KARLOVAČKA","V","Dolasci",2241,19576,2525,21910,2946,27566
"KARLOVAČKA","V","Noćenja",3930,29172,4116,32144,4925,42127
"KARLOVAČKA","VI","Dolasci",2514,29131,2985,40484,3404,40593
"KARLOVAČKA","VI","Noćenja",5135,45304,5272,64341,6393,61844
"KARLOVAČKA","VII","Dolasci",2266,63900,2822,76527,2616,69736
"KARLOVAČKA","VII","Noćenja",5288,121414,5951,158463,5821,116701
"KARLOVAČKA","VIII","Dolasci",2390,75659,3253,84729,3102,90027
"KARLOVAČKA","VIII","Noćenja",5084,126562,6710,143683,7921,191517
"KARLOVAČKA","IX","Dolasci",2978,32299,2230,36579,2739,42684
"KARLOVAČKA","IX","Noćenja",5267,50151,4083,55285,4687,65764
"KARLOVAČKA","X","Dolasci",1918,11915,1747,14738,2404,18051
"KARLOVAČKA","X","Noćenja",3586,16873,3201,21104,3877,24986
"KARLOVAČKA","XI","Dolasci",1420,3857,1321,4008,1808,6208
"KARLOVAČKA","XI","Noćenja",2633,5389,2256,5994,3087,8442
"KARLOVAČKA","XII","Dolasci",1783,3124,2271,3457,2342,3904
"KARLOVAČKA","XII","Noćenja",3275,4131,4154,4468,4311,5053
"VARAŽDINSKA","I","Dolasci",1683,633,1460,802,2191,2199
"VARAŽDINSKA","I","Noćenja",6503,1397,5996,1849,7484,6948
"VARAŽDINSKA","II","Dolasci",2084,761,2053,859,2516,846
"VARAŽDINSKA","II","Noćenja",8380,1514,5825,1933,6885,2122
"VARAŽDINSKA","III","Dolasci",1735,1180,2260,1422,2202,1510
"VARAŽDINSKA","III","Noćenja",5703,2335,6746,3101,6182,3801
"VARAŽDINSKA","IV","Dolasci",2722,1616,2524,2184,3015,2344
"VARAŽDINSKA","IV","Noćenja",6630,3123,6436,4136,7542,7000
"VARAŽDINSKA","V","Dolasci",3247,2049,3712,2477,3479,3278
"VARAŽDINSKA","V","Noćenja",6838,3687,7937,4734,7364,5468
"VARAŽDINSKA","VI","Dolasci",1785,2499,2180,3754,2397,4058
"VARAŽDINSKA","VI","Noćenja",5033,4338,5096,6131,5987,6716
"VARAŽDINSKA","VII","Dolasci",1390,3459,1459,4947,2045,5768
"VARAŽDINSKA","VII","Noćenja",5648,5789,5623,8420,7293,10184
"VARAŽDINSKA","VIII","Dolasci",2716,3874,2669,5844,3226,6459
"VARAŽDINSKA","VIII","Noćenja",9537,7120,7892,12160,10378,13774
